用户id,语音通话整体满意度,网络覆盖与信号强度,语音通话清晰度,语音通话稳定性,是否遇到过网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,用户描述,手机没有信号,有信号无法拨通,通话过程中突然中断,通话中有杂音、听不清、断断续续,串线,通话过程中一方听不见,其他，请注明.1,用户描述.1,脱网次数,mos质差次数,未接通掉话次数,重定向次数,重定向驻留时长,家宽投诉,资费投诉,4\5G用户,语音方式,是否关怀用户,是否去过营业厅,ARPU（家庭宽带）,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,终端品牌,终端品牌类型,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户,是否实名登记用户,客户星级标识,当月欠费金额,前第3个月欠费金额
1,10,6,6,6,1,-1,2,-1,-1,-1,-1,-1,-1,,-1,2,-1,4,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,1816.45,是,250.0,1.0,644,644,苹果,A2412,347.32,644,0.0,480,1.0,8450801,8450801,是,否,银卡,0.0,0.0
2,2,1,1,1,1,1,2,-1,4,-1,-1,-1,-1,,-1,-1,-1,4,-1,6,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,1.0,902,902,华为,TET-AN00,111.4,902,0.0,480,1.0,17425910,17425910,是,是,银卡,0.0,0.0
3,10,7,7,7,1,-1,-1,-1,-1,-1,6,-1,-1,,1,-1,-1,-1,-1,6,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,1.0,322,322,华为,YAL-AL50,48.0,322,0.0,413,1.0,6215849,6215849,否,否,三星,0.0,3.76
4,6,7,7,6,1,1,2,-1,-1,-1,-1,-1,-1,,1,2,-1,-1,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,1.0,139,139,苹果,A2634,49.0,139,0.0,301,1.0,5370710,5370710,是,否,三星,0.0,0.0
5,5,5,4,3,1,-1,2,-1,-1,5,-1,7,-1,,-1,2,3,4,-1,6,-1,,0,0,0,,,0,0,4G,CSFB,,,0.0,0.0,是,0.0,1.0,787,787,苹果,A2223,138.1,787,0.0,1193,1.0,3857521,3857521,否,否,银卡,0.0,0.0
6,7,6,6,4,1,1,-1,-1,-1,5,6,-1,-1,,-1,2,3,4,-1,6,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,1.0,627,627,苹果,iPhone X A1865,140.09,627,0.0,794,1.0,31131458,31131458,否,否,银卡,103.54,117.31
7,8,7,9,9,1,-1,-1,-1,4,-1,6,7,-1,,1,-1,-1,4,-1,6,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,1.0,334,334,苹果,A2223,60.0,334,0.0,306,1.0,15342037,15342037,否,否,二星,0.0,0.0
8,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,2,0,,,0,0,4G,VOLTE,,是,0.0,0.0,是,0.0,1.0,386,386,华为,HMA-AL00,73.0,386,0.0,185,1.0,11432042,11432042,否,否,三星,0.0,0.0
9,10,10,10,10,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,0,0,,,0,0,4G,CSFB,,是,0.0,0.0,是,0.0,1.0,474,474,欧珀,PBBM00,80.36,474,0.0,277,1.0,5017952,5017952,否,否,三星,0.0,0.0
10,10,8,8,9,1,-1,2,-1,4,5,-1,7,-1,,-1,-1,-1,4,-1,-1,-1,,0,0,0,,,0,0,5G,EPSFB,,是,0.0,0.0,是,0.0,1.0,43,43,华为,WLZ-AN00,29.0,43,0.0,233,1.0,950128,950128,是,否,准星,0.0,0.0
