用户,手机上网整体满意度,网络覆盖与信号强度,手机上网速度,手机上网稳定性,居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,场景备注数据,网络信号差/没有信号,显示有信号上不了网,上网过程中网络时断时续或时快时慢,手机上网速度慢,其他，请注明.1,现象备注数据,看视频卡顿,打游戏延时大,打开网页或APP图片慢,下载速度慢,手机支付较慢,其他，请注明.2,APP大类备注,爱奇艺,优酷,腾讯视频,芒果TV,搜狐视频,抖音,快手,火山,咪咕视频,其他，请注明.3,APP小类视频备注,全部都卡顿,和平精英,王者荣耀,穿越火线,梦幻西游,龙之谷,梦幻诛仙,欢乐斗地主,部落冲突,炉石传说,阴阳师,其他，请注明.4,APP小类游戏备注,全部游戏都卡顿,微信,手机QQ,淘宝,京东,百度,今日头条,新浪微博,拼多多,其他，请注明.5,APP小类上网备注,全部网页或APP都慢,上网质差次数,脱网次数,重定向次数,2G驻留时长,微信质差次数,王者荣耀质差次数,高单价超套客户（集团）,高频高额超套客户（集团）,套外流量（MB）,套外流量费（元）,是否全月漫游用户,是否不限量套餐到达用户,年龄,性别,王者荣耀使用次数,游戏类APP使用天数,游戏类APP使用次数,王者荣耀使用天数,游戏类APP使用流量,抖音使用流量（MB）,今日头条使用流量,快手使用流量,优酷视频使用流量,腾讯视频使用流量,小视频系APP流量,阿里系APP流量,网易系APP流量,腾讯系APP流量,王者荣耀APP使用流量,蜻蜓FMAPP使用流量,饿了么使用流量,美团外卖使用流量,天猫使用流量,大众点评使用流量,滴滴出行使用流量,通信类应用流量,游戏类应用流量,网页类应用流量,音乐类应用流量,视频类应用流量,邮箱类应用流量,终端类型,操作系统,终端制式,终端品牌,终端品牌类型,是否5G网络客户,当月GPRS资源使用量（GB）,是否校园套餐用户,校园卡无校园合约用户,校园卡校园合约捆绑用户,当月高频通信分公司,畅享套餐档位,畅享套餐名称,主套餐档位,当月MOU,近3个月平均消费（剔除通信账户支付）,近3个月平均消费（元）,本年累计消费（元）,码号资源-激活时间,码号资源-发卡时间,客户星级标识
用户1,8,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,23.0,12728.0,,,否,否,0.0,0.0,否,否,52,男,0.0,4.0,554.0,0.0,297155.0,0.0,907.0,0.0,0.0,559.0,0,385,0,5,0,0,0,0,303,0,0,61,290,37,16,66,0,手机,Android 9,4G终端,小米科技,M1901F7BE,否,0.0313,否,否,否,城区三分公司,9,畅享套餐9档-语音9流量0,9,54,9.2,9.2,36.6,2020-07-17,2020-06-29,一星
用户2,9,9,8,9,-1,-1,-1,-1,5,-1,-1,-1,,1,2,3,4,-1,,1,-1,3,-1,5,-1,,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,,-1,,,,,,,否,否,0.0,0.0,否,否,36,男,0.0,1.0,17.0,0.0,8.0,0.01,110783.0,942884.0,6455.0,11365.0,921,2394,0,944,0,2,0,0,2207,0,0,139,0,153,254,995,0,手机,Android 9,4G终端,华为,STK-AL00,否,5.7303,是,否,是,城区一分公司,0,0,49,172,21.0,21.0,81.49,2021-12-29,2021-12-25,未评级
用户3,4,3,3,3,1,2,3,4,5,6,7,-1,,1,-1,-1,4,-1,,-1,-1,3,4,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,,6.0,50.0,14082.0,,,否,否,0.0,0.0,否,否,34,性别不详,0.0,8.0,44.0,0.0,51.0,11438.96,155511.0,440.0,465.0,383730.0,11439,4313,0,534,0,0,15,0,2974,12,2,1150,0,2590,74,13423,0,手机,iOS 12.0,4G终端,苹果,A2220,否,35.2103,否,否,否,城区一分公司,129,畅享套餐129档-语音29新流量100,129,206,69.0,69.0,276.1,2021-11-01,2021-10-29,一星
用户4,9,8,8,7,-1,-1,-1,-1,5,-1,-1,-1,,-1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,15.0,,否,否,0.0,0.0,否,否,32,男,0.0,4.0,17.0,0.0,23.0,0.0,73679.0,33788.0,4904.0,568748.0,33,1358,6,816,0,0,15,0,307,0,3,2411,0,1887,22,3702,3,手机,iOS 9.0,4G终端,苹果,iPhone 6S A1700,否,74.8815,否,否,否,城区一分公司,0,0,49,1930,81.57,81.57,331.1,2021-08-23,2021-08-23,一星
用户5,10,10,10,10,1,-1,3,-1,-1,-1,-1,-1,,1,2,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,3.0,,否,否,0.0,0.0,否,否,45,男,0.0,6.0,121.0,0.0,28.0,1686.46,1687291.0,1765401.0,8494.0,1799310.0,3410,1413,5,4224,0,0,1,0,1297,3,0,805,0,2531,2875,5432,0,手机,,4G终端,苹果,iPhone 7Plus A1661,否,44.5678,是,否,是,城区二分公司,0,0,49,18,21.0,21.0,84.0,2021-08-02,2021-08-02,准星
用户6,10,7,9,7,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,,,否,否,0.0,0.0,否,否,31,男,0.0,0.0,0.0,0.0,0.0,19.33,248654.0,941.0,123626.0,46653.0,20,177,33,63,0,0,0,0,62,1,0,371,0,332,42,220,0,手机,,5G终端,小米科技,M2102K1C,是,10.1953,否,否,否,城区二分公司,0,0,18,1160,0.03,0.03,0.1,2022-02-25,2022-02-25,未评级
用户7,10,10,10,10,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,1.0,,否,否,0.0,0.0,否,否,38,男,0.0,4.0,17.0,0.0,1024.0,215.25,545482.0,17747.0,9.0,1428.0,233,33,0,35,0,0,0,0,16,0,0,212,1,605,29,279,0,手机,Android 10,5G终端,华为,WLZ-AN00,是,43.2505,否,否,否,房山分公司,0,0,49,69,25.0,25.0,100.0,2021-11-01,2021-10-19,准星
用户8,8,8,7,9,1,2,-1,-1,-1,6,-1,-1,,1,-1,3,4,-1,,-1,2,3,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,6.0,27.0,136071.0,,,否,否,179.06,5.0,否,否,28,男,1099.0,5.0,1964.0,15.0,691769.0,39234.71,1698707.0,411501.0,32286.0,518874.0,39637,819,0,1206,293,0,17,0,539,5,160,1611,676,2202,51,43961,0,手机,iOS 12.0,4G终端,苹果,A2104,否,110.0,否,否,否,顺义分公司,129,畅享套餐129档-语音29新流量100,129,409,70.73,70.73,281.3,2021-10-18,2021-10-16,一星
用户9,8,8,9,8,1,-1,-1,-1,5,-1,-1,-1,,1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,17.0,99540.0,,,否,否,0.0,0.0,否,否,60,女,0.0,0.0,0.0,0.0,0.0,0.03,2722.0,477.0,2.0,9070.0,0,3,0,9,0,0,0,0,1,0,0,16,0,15,0,9,0,手机,Android 10,5G终端,华为,LIO-AN00,是,0.1953,否,否,否,城区二分公司,0,0,18,122,8.6,8.6,25.8,2021-11-07,2021-10-24,准星
用户10,3,3,3,3,1,-1,-1,-1,5,-1,7,-1,,1,2,3,4,-1,,1,-1,-1,-1,5,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,,,,,否,否,0.0,0.0,是,否,27,男,,,,,,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,手机,IOS,4G终端,苹果,iPhone 7 Plus A1785,否,1.9432,是,否,是,不详,0,0,49,16,21.0,21.0,84.0,2021-09-28,2021-09-28,准星
