用户id,是否遇到过网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,用户描述,手机没有信号,有信号无法拨通,通话过程中突然中断,通话中有杂音、听不清、断断续续,串线,通话过程中一方听不见,其他，请注明.1,用户描述.1,脱网次数,mos质差次数,未接通掉话次数,是否投诉,性别,4\5G用户,是否关怀用户,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,终端品牌,终端品牌类型,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户,客户星级标识,是否不限量套餐到达用户
1,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,1,0,0,否,男,4G,否,9.55,是,2.9,0.0,161,0,华为,BLA-AL00,45.37,161,23.6,139,0.0,14360274,0,否,一星,否
2,1,1,2,-1,-1,-1,-1,-1,-1,,-1,-1,-1,4,-1,-1,-1,,0,17,1,否,男,4G,否,0.0,是,0.0,0.0,270,0,华为,LYA-AL00,60.0,270,60.0,102,0.0,9585266,0,否,三星,是
3,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,13,39,4,否,女,4G,否,0.0,是,0.0,0.0,662,0,苹果,A2412,89.0,662,89.0,80,0.0,6545659,0,否,三星,是
4,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,-1,-1,-1,-1,,8,13,2,否,女,4G,否,0.0,是,0.0,0.0,645,0,苹果,A2104,70.0,645,69.1,333,0.0,8266166,0,否,三星,否
5,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,2,-1,-1,-1,6,98,丰台区小屯路甲2号院汇锦苑小区信号很差,22,1,2,否,男,5G,否,0.0,是,0.0,0.0,496,0,华为,NOH-AN00,56.0,496,56.0,258,0.0,13254086,0,是,三星,是
6,1,1,-1,-1,-1,-1,6,-1,-1,,1,2,3,4,-1,6,-1,,38,23,8,否,男,4G,否,0.0,是,0.0,0.0,657,0,苹果,A2217,75.5,657,38.5,732,0.0,5695737,0,否,三星,否
7,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,41,0,0,否,男,4G,否,0.0,是,0.0,0.0,618,0,华为,ELE-AL00,56.1,618,56.0,567,3.1511285511409e-05,9393460,296,否,二星,是
8,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,10,2,2,否,男,5G,否,0.0,是,0.0,0.0,485,0,华为,TAS-AN00,111.3,485,111.3,346,0.0,6384492,0,是,银卡,否
9,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,12,1,否,男,4G,否,0.0,是,0.0,0.0,175,0,华为,VOG-AL00,11.75,175,8.0,42,0.0,64533,0,否,三星,否
10,1,1,2,-1,-1,5,-1,7,-1,,1,-1,3,4,-1,-1,-1,,2,0,3,否,男,5G,否,0.0,是,0.0,0.0,231,0,华为,OCE-AN50,162.9,231,124.9,207,0.0,48515608,0,是,银卡,否
11,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,2,11,3,否,男,4G,否,25.24,是,6.96,0.222772277227723,202,45,苹果,A2404,25.41,202,26.95,367,0.533742365980547,176840,94387,否,三星,否
12,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,4,-1,-1,-1,,25,23,1,否,男,5G,否,0.0,是,0.0,0.0,277,0,苹果,A2639,56.15,277,56.75,52,0.0,12504820,0,是,三星,是
13,1,-1,-1,-1,-1,-1,-1,7,98,山上,1,-1,3,-1,-1,6,-1,,21,12,0,否,男,4G,否,0.0,是,0.0,0.0,182,0,华为,LYA-AL00,270.0,182,268.2,76,0.0,9525891,0,否,银卡,否
14,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,7,0,0,否,女,4G,否,1689.56,是,48.0,0.0,268,0,华为,ART-AL00x,160.04,268,135.0,341,0.0,49540490,0,否,三星,否
15,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,1,5,11,否,女,4G,否,6.99,是,2.9,0.0,412,0,苹果,iPhone 6S A1700,21.35,412,20.47,304,0.0,142381,0,否,三星,否
16,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,0,1,0,否,男,5G,否,0.0,是,0.0,0.0,155,0,华为,ANA-AN00,65.0,155,65.0,92,0.0,5052929,0,是,三星,否
17,1,1,2,-1,-1,5,-1,-1,-1,,1,-1,-1,-1,-1,-1,-1,,82,6,1,否,女,5G,否,0.0,是,0.0,0.0,206,0,苹果,A2639,104.0,206,100.0,180,0.0,35721861,0,是,三星,是
18,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,10,9,1,否,男,4G,否,24.82,是,0.69,0.0,359,0,华为,FLA-TL10,76.69,359,55.0,81,0.0,33946082,0,否,一星,否
19,1,1,-1,-1,-1,5,-1,7,-1,,-1,-1,3,-1,-1,6,-1,,0,9,7,否,男,5G,否,0.0,是,0.0,0.0,1787,0,华为,NOP-AN00,105.0,1787,105.0,1029,8.09236599110498e-06,7290822,59,是,三星,否
20,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,3,4,-1,6,-1,,4,13,5,否,男,4G,否,0.0,是,0.0,0.0,383,0,华为,PCT-AL10,70.0,383,70.0,167,0.0,10426496,0,否,三星,是
21,1,-1,-1,-1,-1,-1,6,7,-1,,1,-1,3,-1,-1,6,-1,,6,16,1,否,性别不详,4G,否,0.0,是,0.0,0.0,422,0,小米科技,M2001J1C,147.6,422,83.4,121,0.0,9937099,0,否,银卡,否
22,1,1,-1,-1,-1,-1,6,-1,-1,,-1,-1,-1,-1,-1,6,-1,,13,2,0,否,男,4G,否,0.0,是,0.0,0.0,205,0,华为,VOG-AL00,101.0,205,101.1,92,0.0,30978980,0,否,三星,是
23,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,5,22,0,否,男,4G,否,0.0,是,0.0,0.0,254,0,华为,JSN-AL00,21.0,254,21.0,131,0.0,9443269,0,否,一星,否
24,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,31,3,0,否,男,4G,否,0.0,是,0.0,0.0,359,0,华为,VKY-AL00,56.0,359,75.9,8,0.0,40950771,0,否,三星,是
25,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,-1,4,-1,-1,-1,,5,12,3,否,男,5G,否,0.0,是,0.0,0.0,1253,0,华为,NOH-AN00,121.0,1253,121.0,659,0.0,7753691,0,是,银卡,否
26,1,1,2,-1,4,-1,-1,-1,-1,,-1,-1,-1,-1,-1,6,-1,,58,1,0,否,性别不详,4G,否,0.0,是,0.0,0.0,374,0,华为,JKM-TL00,30.6,374,21.3,368,0.0,52007860,0,否,准星,否
27,1,1,-1,-1,-1,5,-1,-1,-1,,1,2,3,4,-1,6,-1,,33,13,2,否,女,4G,否,0.0,是,0.0,0.0,243,0,华为,LRA-AL00,145.0,243,20.0,129,0.0,19701182,0,否,三星,否
28,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,2,0,0,否,男,5G,否,0.0,是,0.0,0.0,348,0,华为,NOH-AN00,8.0,348,8.0,182,0.0,4575526,0,是,三星,否
29,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,-1,-1,-1,-1,-1,,21,31,2,否,性别不详,5G,否,0.0,是,0.0,0.0,763,0,苹果,A2644,244.5,763,243.0,211,0.0,8390449,0,是,金卡,否
30,1,1,2,3,4,5,6,7,-1,,1,2,3,4,-1,-1,-1,,0,0,0,否,性别不详,4G,否,0.0,是,0.0,0.143712574850299,167,24,苹果,A2223,26.3,167,19.4,46,1.0,17756,17756,否,三星,否
31,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,59,3,0,否,女,4G,否,0.0,是,0.0,0.0,231,0,华为,VOG-AL00,44.0,231,44.0,293,0.0,21305111,0,否,三星,否
32,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,7,14,0,否,男,4G,是,0.0,是,0.0,0.0,604,0,小米科技,M1903F11A,90.0,604,91.0,566,0.0,77948621,0,否,银卡,否
33,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,14,7,0,否,女,4G,否,0.0,是,0.0,0.0,403,0,苹果,iPhone 7 A1780,39.35,403,38.15,548,0.0,21069245,0,否,三星,否
34,1,1,-1,-1,-1,-1,6,-1,-1,,1,-1,-1,-1,-1,6,-1,,7,5,0,否,男,4G,否,0.0,是,0.0,0.0,148,0,欧珀,PDBM00,55.0,148,72.2,272,0.0,41890623,0,否,三星,否
35,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,32,7,4,否,女,4G,否,0.0,是,0.0,0.0,182,0,小米科技,M1803E1A,33.0,182,33.0,85,0.0,9079888,0,否,二星,否
36,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,5,54,2,否,男,4G,否,0.0,是,0.0,0.0,1403,0,华为,OXF-AN10,110.0,1403,110.0,632,0.0,591709,0,否,三星,否
37,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,2,5,1,否,男,4G,否,0.0,是,0.0,0.0,431,0,华为,BLA-AL00,34.0,431,34.0,440,0.0,1568151,0,否,三星,否
38,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,3,40,1,否,男,4G,否,0.0,是,0.0,0.151414309484193,1202,182,苹果,iPhone X A1865,160.0,1202,140.0,591,0.0549505422969216,102934016,5656280,否,银卡,否
39,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,7,19,1,否,男,4G,否,0.0,是,0.0,0.155555555555556,315,49,华为,LYA-AL00,25.0,315,137.87,576,0.128658190501437,34996093,4502534,否,一星,否
40,1,1,2,-1,-1,-1,-1,-1,-1,,1,-1,-1,-1,-1,-1,-1,,8,58,3,否,男,4G,否,0.0,是,0.0,0.0,1376,0,苹果,iPhone X A1865,245.0,1376,241.8,1354,0.0,17145352,0,否,银卡,否
41,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,2,1,0,否,女,5G,否,0.0,是,0.0,0.0,182,0,小米科技,M2007J3SC,10.15,182,10.15,152,0.0,3499537,0,是,三星,否
42,1,1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,6,-1,,4,1,0,否,男,5G,否,0.0,是,0.0,0.0,183,0,步步高,V2046A,252.1,183,242.0,140,0.0,3551897,0,是,金卡,否
43,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,6,3,0,否,女,5G,否,0.0,是,0.0,0.0,179,0,华为,ELS-AN00,120.0,179,120.0,185,0.0,9449986,0,是,银卡,否
44,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,1,0,1,否,男,5G,否,0.0,是,0.0,0.0,173,0,步步高,V2057A,128.0,173,118.0,135,0.0,10829497,0,是,银卡,否
45,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,2,15,4,否,男,5G,否,0.0,是,0.0,0.0,218,0,华为,TAS-AN00,60.0,218,60.0,115,0.0,8688643,0,是,三星,是
46,1,1,-1,-1,-1,-1,-1,-1,-1,,1,-1,-1,-1,-1,-1,-1,,69,29,0,否,男,5G,否,0.0,是,0.0,0.0,283,0,小米科技,M2002J9E,44.39,283,29.0,102,0.0,42587138,0,是,准星,否
