用户id,是否遇到网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,注明内容,网络信号差/没有信号,显示有信号上不了网,上网过程中网络时断时续或时快时慢,手机上网速度慢,其他，请注明.1,注明内容.1,看视频卡顿,打游戏延时大,打开网页或APP图片慢,下载速度慢,手机支付较慢,其他，请注明.2,,爱奇艺,优酷,腾讯视频,芒果TV,搜狐视频,抖音,快手,火山,咪咕视频,学习强国,其他，请注明.3,注明内容.2,全部都卡顿,和平精英,王者荣耀,穿越火线,梦幻西游,龙之谷,梦幻诛仙,欢乐斗地主,部落冲突,炉石传说,阴阳师,其他，请注明.4,注明内容.3,全部游戏都卡顿,微信,手机QQ,淘宝,京东,百度,今日头条,新浪微博,拼多多,学习强国.1,其他，请注明.5,注明内容.4,全部网页或APP都慢,脱网次数,上网质差次数,微信质差次数,是否投诉,性别,4\5G用户,是否关怀用户,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,终端品牌,终端品牌类型,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户,客户星级标识,是否不限量套餐到达用户
1,1,1,-1,-1,-1,-1,6,7,-1,,-1,-1,3,4,-1,,1,-1,3,-1,-1,-1,,-1,-1,-1,-1,-1,6,7,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,3,4,-1,-1,-1,-1,-1,-1,,-1,2,0,0,否,女,5G,否,0.0,是,0.0,0.0,119,0,步步高,V2072A,105.0,119,100.0,145,0.0,2215643,0,是,银卡,否
2,1,-1,-1,-1,-1,-1,6,-1,-1,,1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,4G,否,0.0,是,0.0,0.0,64,0,华为,ART-AL00x,140.0,64,233.99,87,0.0,23273941,0,否,银卡,否
3,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,5G,否,0.0,是,0.0,0.0,33,0,华为,CDY-AN95,20.09,33,19.71,32,0.0,2088114,0,是,三星,否
4,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,3,0,1,否,女,4G,否,0.0,是,0.0,0.0130718954248366,153,2,苹果,iPhone 7Plus A1661,11.25,153,16.65,292,0.000269021485144894,3691155,993,否,三星,否
5,1,1,-1,-1,-1,-1,-1,-1,-1,,1,2,3,4,-1,,1,-1,3,-1,-1,-1,,-1,-1,3,-1,5,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,1,-1,3,4,5,-1,-1,-1,-1,-1,,-1,52,0,0,否,男,5G,否,0.0,是,0.0,0.0,110,0,小米科技,M2012K11AC,51.0,110,41.15,31,0.0,40765275,0,是,三星,否
6,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,0,0,0,否,男,5G,否,0.0,是,0.0,0.0,92,0,索尼爱立信,XQ-AS72,21.0,92,21.0,22,0.0,12230957,0,是,二星,否
7,1,-1,-1,-1,-1,-1,6,-1,-1,,-1,-1,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,4,4,8,否,男,4G,否,0.0,是,0.0,0.0,114,0,小米科技,M2007J3SC,38.0,114,28.25,109,0.0,2188612,0,否,三星,否
8,1,-1,2,-1,-1,-1,-1,-1,98,高速,1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2,4,0,否,男,5G,是,0.0,是,0.0,0.0,690,0,苹果,A2404,94.4,690,95.4,1266,0.0,28186847,0,是,三星,是
9,1,1,2,-1,-1,5,-1,7,-1,,1,-1,-1,4,-1,,-1,-1,3,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,,-1,13,0,6,否,男,4G,否,0.0,是,0.0,0.0,120,0,苹果,iPhone 7Plus A1661,60.2,120,60.0,52,0.0,11256020,0,否,三星,否
10,1,1,2,-1,4,5,6,-1,98,公交,1,2,3,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,6,1,0,否,男,4G,否,0.0,是,0.0,0.0,15,0,中兴,NX569H,38.0,15,38.0,8,0.0,3710471,0,否,二星,否
